Date_Last_Modified,Name,Icon,Lat,Lon,Link1,Freq1,Offset1,Tone1,OnAir1,Mode1,Link2,Freq2,Offset2,Tone2,OnAir2,Mode2,Link3,Freq3,Offset3,Tone3,OnAir3,Mode3,Link4,Freq4,Offset4,Tone4,OnAir4,Mode4,Link5,Freq5,Offset5,Tone5,OnAir5,Mode5
"2026-01-19","WA3KOK","repeater_gray","39.17","-77.27","https://www.repeaterbook.com/repeaters/details.php?state_id=24&ID=68","147.270000","+","156.7","Yes","FM P-25","https://www.repeaterbook.com/repeaters/details.php?state_id=24&ID=129","443.400000","+","136.5","Yes","FM P-25","https://www.repeaterbook.com/repeaters/details.php?state_id=24&ID=10817","444.050000","+","","Yes","FM P-25","https://www.repeaterbook.com/repeaters/details.php?state_id=24&ID=13837","442.250000","+","107.2","Yes","FM P-25","https://www.repeaterbook.com/repeaters/details.php?state_id=24&ID=21399","927.137500","-","156.7","Yes","FM"
"2026-01-19","N3EST","repeater_gray","39.33","-76.44","https://www.repeaterbook.com/repeaters/details.php?state_id=24&ID=71","147.345000","+","192.8","Yes","FM","","","","","","","","","","","","","","","","","","","","","","","",""
"2026-01-19","K3ARS","repeater_gray","39.28210068","-76.09079742","https://www.repeaterbook.com/repeaters/details.php?state_id=24&ID=74","147.375000","+","156.7","Yes","FM","https://www.repeaterbook.com/repeaters/details.php?state_id=24&ID=185","449.175000","-","156.7","Yes","FM Fusion","https://www.repeaterbook.com/repeaters/details.php?state_id=24&ID=15990","442.737500","+","","Yes","DMR","","","","","","","","","","","",""
"2026-01-19","W3JEH","repeater_gray","39.41","-76.46","https://www.repeaterbook.com/repeaters/details.php?state_id=24&ID=77","223.840000","-","","Yes","FM","","","","","","","","","","","","","","","","","","","","","","","",""
"2026-01-19","KB3MEC","repeater_gray","39.34","-75.88","https://www.repeaterbook.com/repeaters/details.php?state_id=24&ID=81","224.000000","-","131.8","Yes","FM","https://www.repeaterbook.com/repeaters/details.php?state_id=24&ID=24178","441.500000","+","","Yes","","","","","","","","","","","","","","","","","","",""
"2026-01-19","N3EZD","repeater_gray","39.27","-76.80","https://www.repeaterbook.com/repeaters/details.php?state_id=24&ID=86","224.320000","-","","Yes","FM","https://www.repeaterbook.com/repeaters/details.php?state_id=24&ID=191","449.525000","-","100.0","Yes","FM","","","","","","","","","","","","","","","","","",""
"2026-01-19","K3WX","repeater_gray","39.14469910","-76.98629761","https://www.repeaterbook.com/repeaters/details.php?state_id=24&ID=88","224.540000","-","156.7","Yes","FM","","","","","","","","","","","","","","","","","","","","","","","",""
"2026-01-19","W3CAM","repeater_gray","39.20","-76.86","https://www.repeaterbook.com/repeaters/details.php?state_id=24&ID=102","224.860000","-","","Yes","FM","","","","","","","","","","","","","","","","","","","","","","","",""
"2026-01-19","N3UR","repeater_gray","39.63","-76.56","https://www.repeaterbook.com/repeaters/details.php?state_id=24&ID=103","224.920000","-","","Yes","FM","","","","","","","","","","","","","","","","","","","","","","","",""
"2026-01-19","K3ATV","repeater_gray","39.08","-77.15","https://www.repeaterbook.com/repeaters/details.php?state_id=24&ID=104","224.940000","-","156.7","Yes","FM","","","","","","","","","","","","","","","","","","","","","","","",""
"2026-01-19","W3WCQ","repeater_gray","39.29","-76.61","https://www.repeaterbook.com/repeaters/details.php?state_id=24&ID=106","439.250000","s","","Yes","ATV","","","","","","","","","","","","","","","","","","","","","","","",""
"2026-01-19","W3XJ","repeater_gray","39.01","-76.78","https://www.repeaterbook.com/repeaters/details.php?state_id=24&ID=109","442.150000","+","","No","FM","","","","","","","","","","","","","","","","","","","","","","","",""
"2026-01-19","KB3CMA","repeater_gray","38.98030090","-76.56649780","https://www.repeaterbook.com/repeaters/details.php?state_id=24&ID=110","442.300000","+","107.2","Yes","FM Fusion","https://www.repeaterbook.com/repeaters/details.php?state_id=24&ID=21396","441.837500","+","","Yes","DMR","","","","","","","","","","","","","","","","","",""
"2026-01-19","KP4IP","repeater_gray","39.06","-76.65","https://www.repeaterbook.com/repeaters/details.php?state_id=24&ID=112","442.400000","+","","No","DMR","","","","","","","","","","","","","","","","","","","","","","","",""
"2026-01-19","W3LRC","repeater_gray","39.10","-76.85","https://www.repeaterbook.com/repeaters/details.php?state_id=24&ID=114","442.500000","+","156.7","No","FM","","","","","","","","","","","","","","","","","","","","","","","",""
"2026-01-19","N3MIR","repeater_gray","39.16","-76.62","https://www.repeaterbook.com/repeaters/details.php?state_id=24&ID=115","442.600000","+","127.3","Yes","FM","","","","","","","","","","","","","","","","","","","","","","","",""
"2026-01-19","N3UHD","repeater_gray","39.66220093","-77.96440125","https://www.repeaterbook.com/repeaters/details.php?state_id=24&ID=116","442.650000","+","79.7","Yes","FM EchoLink","","","","","","","","","","","","","","","","","","","","","","","",""
"2026-01-19","N3HQJ","repeater_gray","38.36","-75.60","https://www.repeaterbook.com/repeaters/details.php?state_id=24&ID=117","442.650000","+","156.7","Yes","DMR","https://www.repeaterbook.com/repeaters/details.php?state_id=24&ID=19068","146.865000","-","","Yes","DMR","","","","","","","","","","","","","","","","","",""
"2026-01-19","AB3FE","repeater_gray","39.59","-78.95","https://www.repeaterbook.com/repeaters/details.php?state_id=24&ID=120","442.750000","+","167.9","Yes","FM","","","","","","","","","","","","","","","","","","","","","","","",""
"2026-01-19","KD3SU","repeater_gray","39.51","-77.65","https://www.repeaterbook.com/repeaters/details.php?state_id=24&ID=122","442.950000","+","94.8","Yes","FM","","","","","","","","","","","","","","","","","","","","","","","",""
